Year,Jan_tmax,Feb_tmax,Mar_tmax,Apr_tmax,May_tmax,Jun_tmax,Jul_tmax,Aug_tmax,Sep_tmax,Oct_tmax,Nov_tmax,Dec_tmax,Avg/Total_tmax,Jan_tmin,Feb_tmin,Mar_tmin,Apr_tmin,May_tmin,Jun_tmin,Jul_tmin,Aug_tmin,Sep_tmin,Oct_tmin,Nov_tmin,Dec_tmin,Avg/Total_tmin,Jan_pr,Feb_pr,Mar_pr,Apr_pr,May_pr,Jun_pr,Jul_pr,Aug_pr,Sep_pr,Oct_pr,Nov_pr,Dec_pr,Avg/Total_pr,PLANTED,HARVEST,YIELD,PRODUCED,BEGIN,TOTSUP,EXPORTS,FEED,FSI,CONS,ENDING,FPRICE,Ethanol
1980.0,304.6046511627907,298.0581395348837,419.25,611.5813953488372,741.0348837209302,816.3604651162791,894.0930232558139,853.9069767441861,772.0988372093024,613.2790697674419,498.36046511627904,361.02906976744185,598.5930232558139,133.6453488372093,112.76162790697674,221.90697674418604,365.0639534883721,481.30232558139534,568.25,638.5755813953489,620.9883720930233,516.6860465116279,361.43023255813955,279.3720930232558,173.79651162790697,372.7848837209302,106.93023255813954,97.66279069767442,257.72093023255815,176.19767441860466,249.22674418604652,386.9593023255814,274.1337209302326,556.0406976744187,274.4651162790698,189.4593023255814,77.86627906976744,98.47674418604652,2745.3720930232557,84043.0,72961.0,91.0,6639.0,2034.0,8675.0,2391.0,4232.0,659.0,7282.0,1392.0,3.12,35.0
1981.0,347.02890173410407,399.28901734104045,513.0404624277456,666.9306358381502,686.1849710982659,818.2658959537572,838.7283236994219,810.2947976878613,749.1734104046243,605.335260115607,512.4161849710982,321.4393063583815,605.7167630057803,124.33526011560694,173.41040462427745,270.90751445086704,419.12138728323697,453.6820809248555,585.3236994219653,628.9421965317919,595.693641618497,502.32369942196533,384.39306358381504,306.02312138728325,152.29479768786126,383.0346820809249,21.502890173410403,155.43930635838151,134.98265895953756,366.3815028901734,482.35838150289015,443.514450867052,499.1791907514451,478.90751445086704,237.5664739884393,240.4450867052023,182.8150289017341,154.90751445086704,3398.184971098266,84097.0,74524.0,108.9,8119.0,1392.0,9511.0,1997.0,4245.0,733.0,6975.0,2537.0,2.47,86.0
1982.0,222.075,319.18125,448.5625,569.74375,738.8125,756.75,851.3625,811.625,729.93125,636.38125,456.325,400.5875,578.425,8.03125,118.71875,250.20625,328.525,516.05625,529.73125,629.0375,590.025,509.5375,401.7125,270.2375,231.9625,365.3125,287.20625,88.86875,288.125,233.825,565.06875,353.55,451.125,344.725,269.39375,297.39375,304.75,384.6375,3868.86875,81857.0,72719.0,113.2,8235.0,2537.0,10772.0,1821.0,4573.0,855.0,7249.0,3523.0,2.55,140.0
1983.0,325.3536585365854,391.9207317073171,458.6158536585366,535.060975609756,675.1158536585366,802.6219512195122,890.9268292682926,900.6951219512196,778.5853658536586,626.939024390244,474.3292682926829,192.4939024390244,587.7256097560976,178.78658536585365,220.1219512195122,290.030487804878,343.2865853658537,443.4268292682927,573.5060975609756,647.0487804878048,646.5853658536586,514.0914634146342,416.2439024390244,310.1829268292683,30.6890243902439,384.4878048780488,82.10975609756098,82.85365853658537,302.1585365853659,368.109756097561,502.0487804878049,494.1646341463415,238.09146341463415,258.3658536585366,270.7134146341463,368.2743902439024,407.6463414634146,202.7012195121951,3577.579268292683,60207.0,51479.0,81.1,4174.0,3523.0,7699.0,1886.0,3876.0,930.0,6693.0,1006.0,3.21,160.0
1984.0,279.73417721518985,420.5253164556962,386.13291139240505,567.7025316455696,686.5759493670886,824.1645569620254,844.2215189873418,863.1708860759494,731.1645569620254,632.9873417721519,481.2911392405063,379.89240506329116,591.4620253164557,101.5253164556962,233.72151898734177,217.69620253164558,371.2721518987342,456.5886075949367,593.7594936708861,599.373417721519,608.7278481012659,482.7721518987342,433.09493670886076,269.99367088607596,180.5379746835443,379.0759493670886,60.25316455696203,144.49367088607596,257.77848101265823,502.99367088607596,415.0126582278481,437.84177215189874,289.9873417721519,179.6139240506329,274.90506329113924,464.50632911392404,242.8860759493671,256.90506329113924,3527.3860759493673,80517.0,71897.0,106.7,7672.0,1006.0,8680.0,1850.0,4115.0,1067.0,7032.0,1648.0,2.63,232.0
1985.0,262.21153846153845,311.86538461538464,519.1025641025641,659.6987179487179,750.6153846153846,783.9294871794872,851.1410256410256,793.6025641025641,730.7948717948718,630.2179487179487,410.37179487179486,268.05128205128204,581.0064102564103,67.35897435897436,113.91666666666667,300.35897435897436,412.90384615384613,502.96153846153845,545.9166666666666,606.1923076923077,577.1346153846154,517.7435897435897,408.0128205128205,247.6346153846154,65.92948717948718,363.86538461538464,106.78205128205128,181.98717948717947,334.0576923076923,257.25,386.12820512820514,363.3397435897436,326.21794871794873,447.8525641025641,339.5128205128205,299.5128205128205,452.03846153846155,148.06410256410257,3642.852564102564,83398.0,75209.0,118.0,8875.0,1648.0,10534.0,1227.0,4114.0,1153.0,6494.0,4040.0,2.23,271.0
1986.0,367.3333333333333,332.6533333333333,522.8133333333334,643.5466666666666,723.5066666666667,830.1666666666666,864.1333333333333,798.5,753.5133333333333,625.2866666666666,436.58666666666664,364.97333333333336,605.2466666666667,155.61333333333334,156.88,292.9866666666667,391.0133333333333,495.7266666666667,594.2333333333333,642.6866666666666,565.1866666666666,543.14,412.3466666666667,243.04666666666665,201.32666666666665,391.14666666666665,38.32,165.93333333333334,187.4,356.14666666666665,417.46666666666664,410.22,497.1333333333333,320.1666666666667,540.3,354.1,146.18666666666667,111.90666666666667,3545.5533333333333,76580.0,68907.0,119.4,8226.0,4040.0,12267.0,1492.0,4659.0,1234.0,7385.0,4882.0,1.5,289.992
1987.0,342.0844155844156,440.8051948051948,508.0194805194805,659.7792207792207,774.8311688311688,848.0519480519481,869.2402597402597,820.422077922078,762.9285714285714,593.9415584415584,511.77272727272725,367.987012987013,624.987012987013,161.4090909090909,234.8896103896104,294.53246753246754,383.6168831168831,523.5454545454545,597.7792207792207,641.6558441558442,597.4675324675325,509.1753246753247,338.1623376623377,320.3766233766234,223.07142857142858,402.1623376623377,79.42857142857143,71.95454545454545,312.77272727272725,176.66883116883116,369.3246753246753,312.6623376623377,457.6168831168831,460.56493506493507,228.07142857142858,104.3896103896104,232.01298701298703,258.77272727272725,3064.5194805194806,66200.0,59505.0,119.8,7131.0,4882.0,12016.0,1716.0,4789.0,1251.0,7757.0,4259.0,1.94,279.14599999999996
1988.0,280.46153846153845,326.56410256410254,494.3397435897436,628.8269230769231,777.8525641025641,879.4166666666666,885.6410256410256,877.2628205128206,771.6217948717949,592.0,484.7564102564103,380.8269230769231,614.9166666666666,78.41025641025641,114.23717948717949,263.79487179487177,353.1602564102564,496.7564102564103,588.1025641025641,625.9294871794872,625.1217948717949,512.5064102564103,344.53205128205127,285.9294871794872,168.44230769230768,371.43589743589746,132.6602564102564,128.5897435897436,182.60256410256412,211.2948717948718,236.25,143.71794871794873,288.59615384615387,332.03846153846155,320.0769230769231,153.07051282051282,317.3397435897436,139.53205128205127,2586.0128205128203,67717.0,58250.0,84.6,4929.0,4259.0,9191.0,2028.0,3934.0,1297.0,7260.0,1930.0,2.54,287.445
1989.0,396.9254658385093,272.9130434782609,458.60869565217394,616.8260869565217,711.2360248447205,796.2298136645962,858.4658385093168,826.1739130434783,731.5031055900621,658.5155279503106,468.6832298136646,255.54658385093168,587.6335403726708,191.8136645962733,75.27950310559007,241.52173913043478,364.7391304347826,460.3478260869565,560.9565217391304,633.3540372670808,599.7515527950311,495.2111801242236,388.9751552795031,245.85714285714286,53.88198757763975,359.3167701863354,134.77018633540374,132.7391304347826,220.50310559006212,247.1552795031056,333.1552795031056,366.53416149068323,366.1552795031056,389.0372670807453,435.03105590062114,134.1863354037267,114.07453416149069,74.93788819875776,2948.503105590062,72322.0,64783.0,116.3,7532.0,1930.0,9464.0,2367.0,4382.0,1370.0,8120.0,1344.0,2.36,321.44599999999997
